ticker,date,open,high,low,close,adj_close,volume
AAPL,2025-07-02,208.91000366210938,213.33999633789062,208.13999938964844,212.44000244140625,211.60052490234375,67941800
AAPL,2025-07-03,212.14999389648438,214.64999389648438,211.80999755859375,213.5500030517578,212.70616149902344,34955800
AAPL,2025-07-07,212.67999267578125,216.22999572753906,208.8000030517578,209.9499969482422,209.12037658691406,50229000
AAPL,2025-07-08,210.10000610351562,211.42999267578125,208.4499969482422,210.00999450683594,209.18014526367188,42848900
AAPL,2025-07-09,209.52999877929688,211.3300018310547,207.22000122070312,211.13999938964844,210.3056640625,48749400
AAPL,2025-07-10,210.50999450683594,213.47999572753906,210.02999877929688,212.41000366210938,211.57064819335938,44443600
AAPL,2025-07-11,210.57000732421875,212.1300048828125,209.86000061035156,211.16000366210938,210.32559204101562,39765800
AAPL,2025-07-14,209.92999267578125,210.91000366210938,207.5399932861328,208.6199951171875,207.79562377929688,38840100
AAPL,2025-07-15,209.22000122070312,211.88999938964844,208.9199981689453,209.11000061035156,208.28370666503906,42296300
AAPL,2025-07-16,210.3000030517578,212.39999389648438,208.63999938964844,210.16000366210938,209.3295440673828,47490500
AAPL,2025-07-17,210.57000732421875,211.8000030517578,209.58999633789062,210.02000427246094,209.1901092529297,48068100
AAPL,2025-07-18,210.8699951171875,211.7899932861328,209.6999969482422,211.17999267578125,210.34552001953125,48974600
AAPL,2025-07-21,212.10000610351562,215.77999877929688,211.6300048828125,212.47999572753906,211.64036560058594,51377400
AAPL,2025-07-22,213.13999938964844,214.9499969482422,212.22999572753906,214.39999389648438,213.55279541015625,46404100
AAPL,2025-07-23,215.0,215.14999389648438,212.41000366210938,214.14999389648438,213.30377197265625,46989300
AAPL,2025-07-24,213.89999389648438,215.69000244140625,213.52999877929688,213.75999450683594,212.91531372070312,46022600
AAPL,2025-07-25,214.6999969482422,215.24000549316406,213.39999389648438,213.8800048828125,213.03485107421875,40268800
AAPL,2025-07-28,214.02999877929688,214.85000610351562,213.05999755859375,214.0500030517578,213.2041778564453,37858000
AAPL,2025-07-29,214.17999267578125,214.80999755859375,210.82000732421875,211.27000427246094,210.43516540527344,51411700
AAPL,2025-07-30,211.89999389648438,212.38999938964844,207.72000122070312,209.0500030517578,208.2239227294922,45512500
AAPL,2025-07-31,208.49000549316406,209.83999633789062,207.16000366210938,207.57000732421875,206.74978637695312,80698400
AAPL,2025-08-01,210.8699951171875,213.5800018310547,201.5,202.3800048828125,201.58030700683594,104434500
AAPL,2025-08-04,204.50999450683594,207.8800048828125,201.67999267578125,203.35000610351562,202.5464630126953,75109300
AAPL,2025-08-05,203.39999389648438,205.33999633789062,202.16000366210938,202.9199981689453,202.11813354492188,44155100
AAPL,2025-08-06,205.6300048828125,215.3800048828125,205.58999633789062,213.25,212.40733337402344,108483100
AAPL,2025-08-07,218.8800048828125,220.85000610351562,216.5800018310547,220.02999877929688,219.16053771972656,90224800
AAPL,2025-08-08,220.8300018310547,231.0,219.25,229.35000610351562,228.4437255859375,113854000
AAPL,2025-08-11,227.9199981689453,229.55999755859375,224.75999450683594,227.17999267578125,226.53909301757812,61806100
AAPL,2025-08-12,228.00999450683594,230.8000030517578,227.07000732421875,229.64999389648438,229.00210571289062,55626200
AAPL,2025-08-13,231.07000732421875,235.0,230.42999267578125,233.3300018310547,232.6717529296875,69878500
AAPL,2025-08-14,234.05999755859375,235.1199951171875,230.85000610351562,232.77999877929688,232.12330627441406,51916300
AAPL,2025-08-15,234.0,234.27999877929688,229.33999633789062,231.58999633789062,230.93666076660156,56038700
AAPL,2025-08-18,231.6999969482422,233.1199951171875,230.11000061035156,230.88999938964844,230.23863220214844,37476200
AAPL,2025-08-19,231.27999877929688,232.8699951171875,229.35000610351562,230.55999755859375,229.90957641601562,39402600
AAPL,2025-08-20,229.97999572753906,230.47000122070312,225.77000427246094,226.00999450683594,225.3723907470703,42263900
AAPL,2025-08-21,226.27000427246094,226.52000427246094,223.77999877929688,224.89999389648438,224.26551818847656,30621200
AAPL,2025-08-22,226.1699981689453,229.08999633789062,225.41000366210938,227.75999450683594,227.11744689941406,42477800
AAPL,2025-08-25,226.47999572753906,229.3000030517578,226.22999572753906,227.16000366210938,226.5191650390625,30983100
AAPL,2025-08-26,226.8699951171875,229.49000549316406,224.69000244140625,229.30999755859375,228.6630859375,54575100
AAPL,2025-08-27,228.61000061035156,230.89999389648438,228.25999450683594,230.49000549316406,229.8397674560547,31259500
AAPL,2025-08-28,230.82000732421875,233.41000366210938,229.33999633789062,232.55999755859375,231.90391540527344,38074700
AAPL,2025-08-29,232.50999450683594,233.3800048828125,231.3699951171875,232.13999938964844,231.485107421875,39418400
AAPL,2025-09-02,229.25,230.85000610351562,226.97000122070312,229.72000122070312,229.07192993164062,44075600
AAPL,2025-09-03,237.2100067138672,238.85000610351562,234.36000061035156,238.47000122070312,237.79725646972656,66427800
AAPL,2025-09-04,238.4499969482422,239.89999389648438,236.74000549316406,239.77999877929688,239.1035614013672,47549400
AAPL,2025-09-05,240.0,241.32000732421875,238.49000549316406,239.69000244140625,239.0137939453125,54870400
AAPL,2025-09-08,239.3000030517578,240.14999389648438,236.33999633789062,237.8800048828125,237.2089080810547,48999500
AAPL,2025-09-09,237.0,238.77999877929688,233.36000061035156,234.35000610351562,233.68887329101562,66313900
AAPL,2025-09-10,232.19000244140625,232.4199981689453,225.9499969482422,226.7899932861328,226.15020751953125,83440800
